iter	RMSE
0	0.07190577643
1	0.07156972478
2	0.07123524366
3	0.07100440199
4	0.07073743753
5	0.07036052799
6	0.07003169806
7	0.06970440491
8	0.06935110161
9	0.06902559964
10	0.0687030085
11	0.06836451779
12	0.06810934977
13	0.06776670074
14	0.06749381907
15	0.06719688311
16	0.06688221232
17	0.06655242608
18	0.06624139331
19	0.06593181415
20	0.06562778176
21	0.06531016863
22	0.06501117744
23	0.06471366717
24	0.06440355208
25	0.06410256207
26	0.06380297874
27	0.06350677014
28	0.06318887097
29	0.06288340823
30	0.06258952262
31	0.06229701048
32	0.06200836392
33	0.06171856782
34	0.06149282113
35	0.06123838473
36	0.06095218713
37	0.06066752649
38	0.0603839968
39	0.0601097088
40	0.05982878607
41	0.05952894897
42	0.05925330685
43	0.05893861284
44	0.05863224885
45	0.0583210752
46	0.05804962353
47	0.05777832861
48	0.05752830458
49	0.05725944604
50	0.05698438816
51	0.0566993028
52	0.05643659193
53	0.05617192731
54	0.0559094078
55	0.05564811518
56	0.05538804371
57	0.05501762678
58	0.05476273159
59	0.05447867577
60	0.05425235264
61	0.05399880426
62	0.05374644085
63	0.05353094682
64	0.05327603537
65	0.05303402689
66	0.05278617236
67	0.05250621068
68	0.05225301135
69	0.0520088069
70	0.05178340401
71	0.05153458567
72	0.05128622105
73	0.05102983542
74	0.05082649858
75	0.05057263446
76	0.05033628325
77	0.05010103662
78	0.04986688942
79	0.04963859318
80	0.04940790377
81	0.04913976863
82	0.04891011392
83	0.04874487403
84	0.04851706485
85	0.04826635755
86	0.04804078473
87	0.04775313575
88	0.04772267305
89	0.04749964114
90	0.04728339965
91	0.04697998813
92	0.04673736118
93	0.04652482401
94	0.04627870439
95	0.04606242086
96	0.04585163562
97	0.045637348
98	0.04542406185
99	0.04523472398
100	0.04502331949
101	0.0448767116
102	0.04469684771
103	0.04453217054
104	0.04432404944
105	0.04411690099
106	0.04391072065
107	0.04365158805
108	0.04337362958
109	0.04316635945
110	0.04295955548
111	0.04275878399
112	0.04256064806
113	0.04235677676
114	0.042153926
115	0.04195691962
116	0.04176083395
117	0.04156566469
118	0.0413688503
119	0.04117598525
120	0.04098354928
121	0.04078667721
122	0.04059664502
123	0.04044415737
124	0.04024420254
125	0.04005612126
126	0.03986891897
127	0.03968259157
128	0.0394979786
129	0.03928954707
130	0.03910592737
131	0.03892316581
132	0.03874125839
133	0.03856020112
134	0.03837999002
135	0.03820062113
136	0.0380118697
137	0.03783612581
138	0.03765929867
139	0.03748398682
140	0.03731359593
141	0.03713921084
142	0.03697046967
143	0.03679768818
144	0.03662571418
145	0.0364545439
146	0.03628417359
147	0.03610902514
148	0.03594026961
149	0.03577230275
150	0.03560512089
151	0.03543872036
152	0.03527309749
153	0.03510824867
154	0.03494417027
155	0.03469862052
156	0.03453696386
157	0.03437624567
158	0.03421558828
159	0.03405568173
160	0.0338965225
161	0.0337381071
162	0.03358043205
163	0.03341974556
164	0.03325934393
165	0.0330836117
166	0.03292899544
167	0.03277510178
168	0.03262518399
169	0.03247600268
170	0.03232422608
171	0.03217315881
172	0.03202279755
173	0.03186962324
174	0.03171235774
175	0.03155654396
176	0.03140906445
177	0.03126557188
178	0.03111945223
179	0.03097059928
180	0.03082585818
181	0.03068179353
182	0.03053431549
183	0.03039288904
184	0.03024188517
185	0.03010371358
186	0.02996302387
187	0.02982299167
188	0.02968457924
189	0.02952940075
190	0.0293913951
191	0.02924543086
192	0.0291002616
193	0.02896426153
194	0.02882889705
195	0.02868017462
196	0.02854739879
197	0.02841794054
198	0.02828913092
199	0.02815379941
200	0.02801914299
201	0.02788819552
202	0.02775786004
203	0.02762512459
204	0.02749305095
205	0.02736579136
206	0.02723789733
207	0.02711060102
208	0.02698512484
209	0.02685900986
210	0.02673348428
211	0.02660854534
212	0.0264841903
213	0.02635757895
214	0.0262199861
215	0.02609744699
216	0.02597548057
